<<<<<<< HEAD
7-10 j: jjjjjjqjjjj
2-10 c: fccbgjccvzwqczcvcc
3-4 p: wqws
1-6 w: wqbjbnrp
5-9 v: vvvvvvvvhvvv
13-16 n: nnnnnnnnnnnntnnn
5-7 h: qzjhhhp
14-15 c: ccccccccccccclcc
11-13 g: tkthwlwggncggxmjfk
2-11 v: vndvvvvvvvvv
10-11 p: ppppppppppt
1-11 c: ccccccccccdc
9-10 b: bbbfbpbbtbb
5-10 r: rrsrrrckhp
2-16 v: vvbktgjvhvvkmfbvccwc
6-10 v: nrvxrvcvvvktrvvvl
10-17 d: ddddddqdhdddddddvd
5-7 f: fqkxhfffghfc
1-13 z: zkzwcggpsppzzxwcbbp
2-4 d: hkvdzhlpbqdnvrjsc
9-11 x: zxxxxxxxsxx
14-17 q: qqqqqqlqqqvqqgtqq
5-12 q: qqqqqqqqqqqrqqqqq
10-13 w: wxwbnbkwgwxwhwwwln
5-16 c: xzvscccccjcccchhc
2-3 v: vgmvvvvvvvvv
7-9 j: mjjjjpjjdjjjb
6-9 q: gqqqqqqqq
10-12 p: pcpxppppprpppp
1-6 s: zsssss
1-3 g: mhggg
2-7 g: gsggsgnvggggqggvlgrc
1-6 d: rddddddd
1-3 n: nntnknnr
8-9 t: tttltttttt
5-6 f: jfzqfljhkwdn
12-14 j: jljjjjvjjjjjjcj
9-10 q: qqqqqqqqqwqq
2-11 h: hhhhhhmhhhqhphhh
4-9 z: cldzzfxzblb
3-4 l: lvlm
3-4 m: mmrmm
15-18 m: mmmmmmvdmmmmmdmmmsmm
4-5 f: wffzff
10-16 b: bbbtmbblpbbbbbmmbv
13-14 d: dpdmjrgdqrdwwd
6-7 m: mmmmmjm
12-19 g: gggggzxggggrgggglgvv
10-15 p: ppppspbpvpkpcpqppp
4-10 m: mmmmzmnmpct
11-12 c: chcccpcccccdcccpd
3-5 f: ffnzqjzh
1-6 p: cpjpppp
7-14 p: ppppnpqpwnrtmbjjppm
7-8 w: wwwwwwtw
3-4 d: ddds
3-4 r: vrxdtlt
2-7 w: wcwvwwqw
5-12 b: bbbbbbbbbbbhb
1-5 t: tlvktt
6-7 p: mprngps
8-12 x: xxrbnxxjhxxxxlx
1-3 x: xvqx
5-7 v: vvvvqjvvvvsg
2-6 w: fwwjwz
16-20 q: qrqqbqnqqfqjhqfqqqqh
3-6 j: jhjjjfjsjk
4-9 k: rkgpgskkz
2-4 z: gzdz
6-8 t: tttttsttdtttt
11-12 p: ppppppppppppp
4-6 x: mzqcfxct
16-19 d: qjdlfdccdbxngddnkgn
2-3 f: rrcvqfs
13-16 z: zzqzzjzzfnttznxzzzz
16-17 w: rbngvbwpgwgzkwswp
1-9 k: klkkkkpkp
3-4 f: fffxffffff
1-2 l: lhpl
1-4 w: vznmj
2-3 j: jdjmpjd
17-20 v: vvvvvvvvvvfvvvvvvrvx
3-7 w: wnzwwswwwwj
3-8 m: mmnmmmmmmm
3-4 l: llmll
9-11 r: rrrfrrrdqrwrr
9-10 w: wwwwwzwwhw
6-10 t: pttwtbxqgttttntktjt
1-3 j: jpngpm
1-9 g: gggggggggg
4-5 b: gbbtb
2-6 q: qqblqdrnmcnhqvvpvkq
6-7 w: zwwwwjw
2-8 w: rpbbwwwlqzhl
11-13 b: bbqbbbbbbbbbb
7-10 v: vvvvfvvvvv
6-17 t: ttttttttttttttttwt
2-3 f: fbff
8-13 l: qlllzllmllgllmlcl
3-4 n: nnnfnqd
9-12 z: lzzzlzzzzffb
3-11 p: bhlpnccgcfp
1-3 s: stccsf
10-18 p: pdgpphscppdlpppvsh
3-6 j: jjjjjq
2-3 s: dslwlsvljc
3-7 g: sgggtdgwkdhspgnxkglv
12-13 h: vrgnfshfssvhh
12-13 m: mmmmmmmmmmmbgm
12-16 d: djddvdqpdddddjlt
3-4 k: kfkmkpk
6-13 s: ksphskxpdswsssbbnwwt
6-18 x: xxsvxndxxxxfvkxxbxs
7-8 d: dxbdddddddd
6-7 q: qqkqdcqjfdqqbbqp
4-5 k: vkkbkzqpk
4-9 l: llbhllllldl
14-17 d: ddddhdhddddddxdddd
3-5 r: htlfbsgmvz
2-4 h: hthhh
4-7 l: xlzllbqkdwqsllfsw
17-18 n: wnnrnnnnngnnnnnnqnfn
1-3 j: vlwkv
1-2 g: bggz
10-11 x: ddsxjxxtnxjpcxxxxxv
4-5 g: hggkg
5-7 t: khtnzct
10-15 g: ggkggsggcgggggqggwgg
9-11 s: ssssbwjhssj
1-8 b: gxvbllbjqk
2-3 w: jgwqhrw
7-8 j: wxtqdvjpbcfzxsjlpmsj
9-16 b: bcpbcbbbbbjmbpwbbj
2-5 t: tpttttt
2-3 z: pzzz
3-10 j: jjpjjrjjjjjjw
5-8 t: tttttttxt
5-15 r: rrnrrrrrrrrrrrkr
8-9 j: hdjwgbjmj
3-14 c: jcccwcccccrckccch
11-12 n: jvzktxgpcmnjglwljrn
9-13 k: vqsgdcksxtxhks
3-5 c: zdccczpwlxt
3-5 r: wxgkrqrsgl
7-8 s: kspsssksswssj
3-7 j: djjjhbrkhtncxjvf
11-12 x: xxxxxxxxxxxz
11-12 t: ttttttttttht
8-11 v: ptvvvsvtvrvvwvxvtfg
9-13 d: nhjddddvlbkdcdntdf
3-6 w: gnwwjqwzqwm
3-5 s: tsssc
3-7 k: kkkzkpmmll
13-15 k: kgkkkkkkhkkktkf
5-8 t: ktttrttnt
1-4 z: nzzzzzz
2-4 k: lkkc
2-3 z: szjh
19-20 d: dddpcddkddckdddbmdld
3-9 q: xqqqpqqqwlqqqqq
14-17 s: ssspkssssssssssslss
17-19 c: ccccccccjcczccccxccc
4-13 h: qtrhflbfmkfchjmfzph
10-18 m: nmmmmmmmmmmmmmmmxd
5-11 n: dnnnfsnnkznbgnjn
6-11 c: cccccvccccc
7-9 d: dddddrxdzldv
2-4 z: zbzz
1-6 j: njjjjjjpjj
3-5 p: prpww
3-16 c: tqjdhbgxvxcxwbvcn
4-5 c: vclfc
3-18 x: xxrxxxtxxxxxxxxxxtxx
2-4 g: gvgggg
6-12 j: cjjpjjjjlhpt
3-4 w: pfwq
5-14 v: vsqqvlrmqbbrlp
2-12 l: rlblqwmphxzpsp
2-8 h: hhqqvhhphhhqddhh
7-9 f: dnfvhwwffk
4-5 p: ppppcd
8-14 t: ttttdtqhttttftttt
13-14 f: fffffffffffffff
1-6 s: jrtwjslzwgkt
4-6 c: jcwzhcscc
10-14 x: llxxxxxxvnxsmx
1-2 h: hhhhv
2-4 d: mvdclzddj
16-17 t: tttttttttttttttmt
2-3 l: jklzlmzrppdpzt
5-6 g: rvfgnggjgk
=======
2-5 z: zzztvz
2-8 d: pddzddkdvqgxndd
4-14 r: rrrjrrrrrrbrrccrr
2-7 r: zrgsnrr
9-10 z: zzzxwzznpd
8-13 g: gggggggxgggghggg
1-6 c: xcccxcccccz
3-4 b: bxbt
8-11 d: dddddddzddv
4-14 m: kxdmmmdmfwmmmdfr
16-17 g: ggggggggggggggggg
2-3 f: ddvdlff
9-11 g: ggggpfgggggg
7-8 c: fdhctccc
3-6 c: tmcdcncqcvccg
2-3 l: clllll
1-9 b: bbbbbbbbbb
10-15 w: wglmwwwrnnzgwhhwvvd
10-14 g: ggggggxsgggqggg
9-19 q: fjlqbvtdngwvtbnsgfm
1-2 k: kgbkkv
4-10 m: mmmmtmmmmgm
3-4 h: hplh
5-7 q: qqqqrqk
3-12 v: zbvlbpxcrnvvwjpwl
1-4 r: crrr
4-5 h: hhhrj
2-4 r: mhrr
9-10 c: pccccsccbk
10-16 n: drnhqnnnnqnnpxmh
5-6 v: vvvnvvg
11-12 c: ccccgcccccpc
5-10 b: bdbjbbfmfbb
9-13 w: zwbwwzhwwkwsxdfwglx
5-19 v: vvvvvqrvvfvgvvvvmvv
3-9 d: dddgztdljb
12-13 s: swssssrsssshx
5-6 l: dllkljq
4-5 q: qqqsdqq
2-4 w: tmwg
10-12 l: llllsldflllllljjlxl
3-11 s: sjtsssssksbs
1-5 v: hvvtmvgvv
3-12 g: ggvgkgfgggghgg
3-4 p: ccpp
3-9 v: vfvvvvvvvvvvvr
8-16 k: kkkkkkkkkkkkkwkkkk
8-9 x: wxbrxfdrw
7-9 n: nnnfnnnnn
7-11 w: wwwwxwwwwwzxw
6-9 n: nknnhnnnnlnnn
10-12 l: qllllllllqbl
17-19 p: pppppppppppppwppkpp
4-5 q: qqqqqq
7-15 v: vvvbmbjvjznzdhfvtn
3-12 w: wwwwwdwwwwwwtwwwww
7-10 x: mmgmknpvdbxdl
9-10 v: jljttxpvvv
11-15 d: dshddnddqdhddvm
1-3 r: vrqrrr
6-7 c: ltcbpccw
5-13 q: qqqqcqqqxqrqg
3-7 l: lhlmhzl
2-3 l: lxntjnttkllll
3-4 b: bbnsb
5-6 j: rjppzvjdjj
4-10 g: fgggjgvfggggggsggm
11-12 z: ztzzzkzzzzsvzzzzt
2-3 h: hcvbf
7-13 s: sswkwhsdqsdcs
3-10 j: mghjglnbdhjp
6-8 x: dfxrxxsxpsxxxxmc
11-12 f: fffmfcdpffmpflfffdw
4-7 n: nnnknncnn
2-6 k: tzqlzqhrncvktfwvswt
2-4 h: pqplh
8-13 h: zhlwqvmnkjhhtkf
2-3 l: llll
19-20 j: jjjjjjjjjjjjjjjjjrjj
3-14 n: crnnrgpmxxlrfljk
2-4 t: stpr
11-13 c: cctcccccccccccc
5-6 q: fqqqqqdwtwqjq
6-7 z: zzzzzzg
8-16 j: njjgsjjljktjcbjvjc
3-6 c: swjccc
5-7 h: ghvwjmzm
9-12 s: sssssmvtdckmfs
3-4 r: bsrm
6-7 c: ccctcccc
6-10 t: swndrtcvtl
13-19 v: vjvxvvvdvvvvvvdvblv
5-7 w: hnwwwtwp
8-9 k: kkkkkktzxkkv
4-6 g: xpsxgs
2-3 r: xrrdxm
2-9 f: ffvqxxvsf
7-10 t: tttttttttt
4-6 q: bbqqqqqqbq
7-9 q: xjcwqhprgh
3-6 j: jjjjjjjxjjj
1-3 l: blll
2-5 p: phbppp
3-4 p: phpb
2-15 r: mwgnrkxrrbmgpzrdrr
8-13 x: jsrlvxmxwglkh
4-11 b: ctcbsjgjplbthhrskfnb
6-7 q: qqqqqfvcq
10-11 d: ddddddjdbndddd
8-9 p: pppppppkf
10-14 q: qqqqqqnqzgqsqv
12-13 b: bbbbbbbbbbbbb
6-11 h: khnkthfhhdhrhh
5-6 g: gzggwcgq
2-4 f: fbfg
6-9 f: ffvfsfvffxff
6-7 t: tsfdltt
14-17 t: tttttttttttxtcttp
3-4 v: vwtv
7-10 x: pxmldqqxmw
1-2 s: pdssssssss
5-6 n: snwnml
3-8 t: tjnpjqzxbj
5-7 n: mxkqfnjb
4-12 q: qqqkqqqqqqqkqqq
4-5 d: pjhnsfdgddjsddvpxxd
14-15 t: trttdtxwtdmtttt
3-4 j: jjvz
1-2 p: xqpppp
11-15 d: dddpdddddddddddq
15-16 b: bnbbbbbbbbbtbbdbb
9-11 w: wwwnwwmwbghw
15-18 g: tjwqbgwmvpvghxgzkgj
3-4 j: jjps
9-12 f: ffflfffmfnffvff
1-3 g: gbgstndgggqrdbtpdqdr
4-6 f: fflxfqffff
10-14 t: ttttttttttttttttt
1-7 v: vvsqlvvvvkj
3-7 b: wvbxlwbjtbbbvh
3-7 p: hqvsvpn
2-6 f: fkwfhf
3-11 d: dzrwnffrdvs
8-9 s: sssdssztlssqksx
12-15 t: tttttttttthtttt
5-6 m: mmmmmmmm
2-3 n: dnnl
12-16 w: wrwwtvwwwwwwwwww
2-4 j: jjjjsj
7-11 x: xxxxxtcxxxlxxx
8-17 n: nbngnnnsnjnbhnntzwxt
5-6 b: tmbdgn
15-16 x: xqlpjxbbxnrbxxxxqmkf
1-3 c: ccclf
12-14 m: zhmmmzltwhrmfmx
15-17 c: ccvcxcmccgccccbcccc
10-13 k: mkgkljkkkjkkg
1-4 b: ckdr
10-12 b: bvfbgbbbbbbb
2-4 v: jfvcv
2-7 p: jswmqpmc
11-16 b: bbbncbpmbjbbvgrb
1-6 n: ktjcwr
2-9 l: lllrwljlnlwllln
17-18 h: hhhhhhhhhhhhhhhhzfh
9-14 b: bbbsbqbbjjbbkb
7-12 j: jjjjjwwjjjjcj
10-13 w: wfwwwwwwwjwww
2-6 j: bjghpj
13-16 z: zzzzzzzzbzzzzzvg
10-11 f: ffffkfffcfxff
3-4 m: mmmmkjvzmkp
2-5 k: kkkkk
5-6 r: rrbrrs
1-2 c: ccqjmc
13-14 r: rrrrrrrrrrrrztr
8-12 z: zrzzzzzqbzvdz
4-9 m: hlgmtvvqs
9-10 t: tthttrtbrnt
2-4 k: snpkzhck
12-13 x: wlxwwxxxhgxxx
11-16 h: ncmfhhvgghhhhhjhd
13-15 g: sgxgfntgjnxkgbgm
4-13 s: vqkslldmgmfrd
3-14 z: zzzzzzzzzzzzzzzz
14-15 c: ccccvccccccsmlpcfccx
4-5 p: pppppp
9-10 z: kgblzrqbzz
13-15 p: pppppptpmppbpppqpp
7-8 b: dntbbcmswb
16-17 d: dddddddddddddddgd
10-11 r: rrrsrmrrrqtr
2-3 q: qtqgz
6-8 c: xztzfkcch
14-15 l: lllflllllllllzsl
1-6 s: zssssss
5-8 d: hdddwddvdpd
10-12 j: jjjjjjjjjpjbj
1-9 q: tqqqqqqqqnqqwqk
2-4 t: shpwwttwqb
8-9 s: xrssssssz
3-4 c: cjcfc
3-10 v: rfvzsncmfv
4-7 t: lshczltjfqkmkt
13-16 x: xxxxxxxfxxxxzxxrxx
1-3 z: pzkzlzmzz
4-5 d: ddkbfdtdd
9-10 r: rrrrrrrrlfkj
3-7 s: svtbsssjsldts
10-13 c: ccccgxzqtctrc
1-7 q: zgwqgrx
6-8 f: ffnffrfg
4-5 f: kffcffp
1-2 m: ggcm
5-6 z: zzzdgz
9-14 j: jjjnjjjjjjjjjjjj
2-17 d: xttgzggnfhsrjqdbppps
5-6 f: xrcfff
1-3 z: wzzg
1-2 h: hhhvl
13-17 q: qqqqqqqqqqmqqqqqqq
2-3 q: bjqq
1-5 w: zwwwgww
5-7 s: jnvpmgj
9-10 q: zctgztwpqq
16-20 j: jkjjkjnjwqqjjjzgjjpk
16-20 k: kkkkkkkkkkkkkkkkkkkk
17-18 d: dddddddddddddddddbd
3-5 d: dngrhxb
10-12 t: tmttttttttrttwh
7-9 q: nqqqkqcqqqqq
7-9 z: zqzzzzwctng
10-13 d: dddjldsddkddjpddd
3-7 g: lgglgggggphx
6-7 b: llkbcdxwtzrblp
1-5 s: dssdscpzwcn
2-6 h: hhphhhhhh
4-13 z: smkzzpzjfzzbzqzxzjz
2-5 j: jjjjjj
8-11 p: lgmppspppppk
9-10 c: ccccccccdnkc
3-9 m: mmfmmmmpkmsmmm
13-15 m: mmmmkmmmmmmmgmhmmm
5-6 x: xxxxxxx
10-14 b: bbbjbqbbwcbbbb
3-12 f: ffmfffffffnzfffff
11-12 m: mmmnmmmmmmmmm
8-12 v: jptmbccvmvsxchfvv
4-5 s: ssssns
12-14 j: jjjjjjdjjjjvjhjjj
11-13 j: wjjjljjjcjjjjqjjp
1-7 g: ggggggggdg
2-3 v: bkjqv
4-13 q: qzhldwthbwgtr
12-13 p: ppplppdgpppppp
11-12 f: flffxfpffprgfff
8-14 b: mbbbbbtbwbhstbbbbbbb
6-7 m: bqmsmmm
1-3 w: qxlggmxtwj
3-17 c: dwbkjcwqcrccbcxcnvxc
11-13 p: ppxppppdppxpzpppp
4-10 v: vfvvfvzvqv
1-7 m: mmmxmmmmmbmmrmmmmmm
2-12 x: xrdxwxzwfxpxtqxxxgxp
6-11 w: swzwwkddmsrxwzfg
6-8 g: ggggggggggg
3-4 h: tzshs
7-8 t: zjtzpclm
5-6 k: brzkzk
14-15 c: cccccccccjccccc
2-3 h: hhfh
15-19 w: wwwwwwwkzxwwwwwwwwh
8-10 f: mjmwqnlnhf
3-8 l: ksllllplllc
1-3 q: gjmhq
2-9 l: lwklcxllf
5-7 p: ppcclscppgdxmg
3-6 z: fpxmpz
8-11 r: vrrrrrrrrrrrrrs
1-7 q: cqqqqqgq
13-14 t: tttztttttttttt
4-6 q: qzkqsqzmhhq
8-14 l: llllfllplllgzll
5-9 m: mmmtmmmmm
9-14 l: llllllllrllllltl
3-4 r: czrr
2-5 s: lssslssnmfqss
14-17 h: hhhhhhhhhhhhhhhhhh
3-4 x: xxxx
7-8 x: zdjbxxsl
10-13 n: ffrnphpzhnfxnncptmn
7-11 m: mmmmmmdmmmmmf
1-2 j: jjjjjjjjjtj
2-6 g: kglgsq
3-8 x: csvxxxxxztxdxpw
3-9 m: qbqwfmfpjmbnbcccgfgk
2-14 v: rmqhqlrvcjdhpw
8-9 p: pppppppvwpm
8-12 f: zvfjxbdgzjbplm
2-3 f: frff
7-9 f: htkxffclfr
4-7 v: cvqjctzvzvvv
6-7 f: fjffflj
1-4 b: tbnpb
8-10 t: tjpbtfzhtfsdjtlttttt
8-12 h: hhhhhhhhhhhrh
3-5 n: hxbwgjchklnplnb
1-2 z: jzvz
4-7 z: vzzzvcz
11-12 f: fffffvcfskcfcfftqf
2-5 p: cxktpckkqkgjpptvgp
9-16 b: bbbbbbbbkbbbbbbbbbbb
10-11 p: jcpnpppxpppb
7-9 n: sncnrzncnzdnngn
10-11 n: ttqrrkbspnn
11-19 c: ccczncccccsccpccccjc
1-2 h: hhhbwhhknzf
5-8 q: zxbtktkf
2-6 x: trxhzl
1-5 d: dskddkqdgqkhcz
7-12 c: ccccccccccccc
7-9 t: kskrrhtxtvsqzt
5-12 v: vvvjvwrdfscv
6-10 z: pzznznzczkwzzzmzz
15-18 t: tttttntttttttttttttt
4-6 m: bxmmmm
2-8 k: tkkhqwkkkpk
6-11 p: pppppgmpppppp
7-10 b: bkbcbbrrbr
6-11 c: cctccccbnbcvccc
2-5 t: ccpxgwzqktxwjf
4-11 s: sssssscsssssg
3-4 d: ndpk
3-4 z: gjzzzkbhzzs
8-9 t: ttttttttt
5-10 l: lllldmmlln
9-15 j: njzjgjjjjjjjprjjj
5-7 p: zppppppgkp
2-6 r: rvdrrrgdnrrrlrr
6-7 k: kkkkkkkk
3-4 x: nxxxmtmljgldjx
2-6 f: qfxxxftf
1-9 z: zzdlqgzwzzjw
6-8 n: rnjnstwm
4-6 w: vhfhwckw
3-7 k: kkpkkfpk
5-7 k: kkkfzkhkk
1-11 j: jjjtjjjjmjs
2-17 w: wlwdkkwmkwskpstxvrwr
5-11 g: kgpgjspqlwnx
2-6 l: lpllld
1-6 d: xwkvgvkdxlljpdqwmhs
5-6 z: llrzzsz
4-5 l: lllll
18-19 g: gggggggngggggggggggg
1-10 x: kkdxwkrtfh
3-4 t: ttrqzttbsrt
14-16 s: ssshsssssssssnsss
2-6 k: kjzkxkkhkp
2-10 b: bbbbbbbbbbbbbb
1-9 v: vvvvvvvvvvv
11-12 m: mqmmmmmmmmhsl
5-6 s: sssmsss
14-20 s: srssssssdsssskssksvs
1-3 r: rrrr
4-7 d: zddkdptdfdw
6-7 g: rggglggtgkgg
3-5 c: bcctcvpcprcccqccpcrc
8-9 r: rrrxzrrlmrd
12-17 c: hcctccccbqcctscsscv
15-16 d: dkddddjdddddsdhwdddj
13-14 b: blbbbbqbhbbbmz
2-10 p: hvxqpjqstv
1-4 p: plxp
3-6 z: zzdlzqjzzz
1-14 s: qsssssssslshswsjh
3-5 r: grrrnrrrsvrrrdrrrjrr
1-4 d: dfdjdxbpdddf
2-3 p: pppppp
16-18 c: cmcccjxfclcgmchswq
9-11 x: xxrxxxxxvxrxx
13-14 p: dpppppsppspftpppwp
15-19 h: hhhhhhhhhhhhhhhhhhhh
6-12 q: qqqxqqqqgqqpqqqqqqqv
10-12 g: gqgdgzhgghjgdd
2-6 p: pnppppp
3-14 l: lllllllllllllllll
12-19 h: hhdhhhhvxrfhcshhwxh
16-18 m: mmrmmmmlmmgmmmmmmmmm
8-11 t: tntmlpgfttv
8-11 f: mffffffffff
15-18 t: tftttttttjwtttjttjt
5-12 d: pzdrdqxzqzwgzwcgsv
4-9 d: cdwdmhksdzgd
9-17 l: mlsllmgdlhlgmfglr
1-5 r: rrcnr
3-4 c: ccccccc
1-2 g: cskvbgnlgnpfrh
5-10 n: tfnnvnnqbbn
1-15 g: fxpdggmtrqggdglh
3-4 t: ftttppdtdbxzqw
5-6 p: qpxsjt
8-14 r: bkltjzprkhrhmrg
1-11 f: gffkkmpflxlqfsf
1-4 d: vddknn
5-7 l: llllllvlllll
2-11 b: bbbbbbbbbbbbb
1-3 h: hhhh
13-14 q: jqqqcckhdqkqqj
4-14 p: mfwcbqxpdkhtdfj
3-4 g: ggggg
6-14 v: vvvvvvvvvvvvvvv
16-18 v: vvvvvvvsvvvsvvvvvv
9-13 l: llllllllllllllllllll
3-4 r: zjrr
6-8 x: xxxxxxxxx
2-6 p: zlgpps
3-8 t: ttjtbttjt
18-19 k: kkkkkkkkkkkklkkkkkk
8-13 q: hcvnkpnqfzqmqscwf
15-16 p: ppppppppppppdpmr
7-12 c: cqccccdcccwsccc
8-12 d: ddhddddgdddgdddd
3-4 x: xxxx
6-8 w: wwwrlzcbwhwlqwwwv
1-5 h: hhhhdwhhlhph
4-5 f: fffvz
3-8 c: ccqqcccc
3-5 k: xkwkdkh
2-3 s: ssssshhsss
4-6 x: gxxxcx
8-12 l: vsnlqbjltbtlphjtf
3-6 n: tgpnqxnntkmntvl
9-12 f: cjzkldhmvclk
4-7 b: zgpdznb
1-12 s: ssssnrssssscnssssq
14-16 p: pppppppppppppwpjp
4-14 b: xpbbvcbbbspgbbqbw
5-6 s: smssrb
5-16 b: tzbdqxgkbxbvzwvt
2-14 f: vzplvvftrcdmgs
13-15 t: tttttkthhtzttdt
2-3 s: vpwss
9-14 s: sssssssfssssss
7-13 s: tsnwzxwzjzsjkchlg
12-15 q: qlqbbfqqvqmcqhvq
12-13 g: gggggggggggggggggg
1-3 g: jjdqzgwgggggg
5-6 n: nlnxnnnwv
15-16 m: mmmmmmmmmmmmmmmjmmm
2-6 m: vmrqrmz
4-5 n: nvnnwb
13-15 x: xgblxvxmpskqwvlx
6-7 v: vvvvvvvv
8-10 r: fsrrdprbrfxhrdv
4-5 j: jsjjf
4-6 k: kkkjkkk
5-9 j: cflfvjjtjljjhbhnj
9-11 t: xswktxtqrbm
4-16 r: drrrrrrrrrrrrfwnr
13-18 p: bbkplmplqmppppspmp
9-15 r: kgnwvxmcrmltpcgwvrb
4-5 c: jcwcccnc
2-4 f: ffff
8-12 d: rvsdddvdtdcd
3-10 v: qvdzjhcvsz
10-11 x: qcmvlvgxkxx
6-9 s: sxsspsksjssfsnssrvs
3-7 x: zbxxxxxwrpxgr
9-17 j: hrppktjsqhzqwxhdz
5-7 z: nzzzvzswz
6-7 p: ppppsbpp
10-13 f: fffffffffhffmfcxffpf
9-12 f: ffffffffsffmf
14-15 r: rrrrrrmrrrrmrrzr
3-6 w: whwwwwwwwwwwm
7-8 b: btqbbbbbbbz
13-16 z: zznbbdmbzhjzzzzzmngd
6-7 q: fqmqltdqqqdwqss
3-4 h: hphhhhh
1-3 r: rdgktrmrmdztrkmn
17-18 w: wwslwwsmwswwfxwwwww
6-8 p: ppprpppp
8-10 z: zzzzzdzrztzzzz
8-11 m: tmldmmwxmjmrmtrmm
12-16 s: phpprsdvkmsssmssnqwm
3-4 h: qplnhkhh
14-19 w: wvxvqzqzdnjjwwtdbwc
2-4 p: fpnp
3-5 c: ccccpcccccccc
3-12 g: ggwggbgfggrxggg
4-8 r: rrszrgdbrw
2-4 n: vnmgjtps
8-10 j: mjjjxjjgjc
2-6 m: vmmhmm
3-4 w: vwww
10-18 v: mvnbqbvcpkvnhqvvbvzv
15-19 g: ggtggggggbggggxggglg
7-13 m: mmmmmmjmmmmmmm
5-11 d: ddxhdndtfdddndxzdqk
3-11 f: ffnfbfffffgrff
7-14 w: fflfpgklzlxfwwt
15-17 d: zxllzgbjrrddnmdhdwp
1-5 n: nnnnknnn
15-16 j: ffkjjljgndljjnjscs
2-3 v: nvvxvntqcrqq
5-6 c: rcccgpcc
2-3 j: qjjfrhwljgczj
5-8 k: kkkkkkkkkk
1-2 r: rrrrxrcrrr
1-15 t: ltttttttttttttttt
4-13 q: prlqzqvgpqslqqcqqjq
3-12 q: gfbpbdrwrbqt
2-5 q: qsxccx
4-9 t: slglllcdkjzdmxt
2-3 r: rlvrrr
2-13 w: wwmkwwwjcwbcwzwwcg
3-4 t: ndkvx
6-13 b: qflzbbbcfzkbmtx
6-10 j: pdckwfhkjxqljnjjw
1-5 j: jjjjjqmj
2-10 x: xlxxxxxxxfxx
1-5 r: rvcnr
4-10 c: cnchrcsgcvncpq
3-5 j: fjxbj
4-11 c: ccdlcsxckcx
12-16 m: mmmmlmvmpcmnmmdbmms
3-4 q: qqwlqqqq
2-6 f: kvcfdv
8-10 m: mmmmmmmmmm
7-8 j: jjjjjjjj
5-7 c: ccccncsjc
7-9 f: fffffrpfplhzfff
1-6 c: sbcccscccccccccccc
5-7 j: njpjqxjrljnqjwjgchtj
11-18 b: gktmxhjwbmbpjrbqkb
1-4 f: lffbfffffw
5-6 c: ccccsc
10-14 v: mkbxvxvgvvvvbv
5-6 x: jxxxxxx
4-6 c: qccmhcccw
3-7 s: qwmtwprsxd
10-19 d: rkdwbrndmxdsknddddl
2-5 p: pppppppppppp
6-7 w: wwffxwc
2-7 z: pkzcnxr
5-10 b: bbqbkbtdbbbbb
10-13 j: qmqgvhzkjmfjhjjm
5-6 n: nnnnrn
7-14 n: qgmlsvnjnrdzcdbstxv
9-16 q: qpllvqpmqlqvkhwqqrsm
2-4 s: sqpnqsgsssq
13-15 z: zzzzmzzzzzzzzzzzzg
10-15 b: bbbdbmqbkjbbtbd
2-5 h: qrhhhhp
11-12 x: xxcxhmxxxxxx
13-18 c: ccccccccccccdccccccc
12-13 h: knktllrdtgjhhhxpd
9-13 g: tdpfvzcqgbslgnbxkgpq
8-15 g: gggggggsggggggxggggg
1-3 v: wvfvvdvvvvv
10-11 b: bbbbbbbbbhzb
15-17 b: bbbbbbbbbbbbbbpttv
1-7 m: bmmmmmdm
2-3 h: rhksbfgh
6-7 w: wwwwwgf
3-12 h: hkhzhhhhhhhlhhmh
3-5 x: xxcxpx
7-9 m: mmdmtmjdxmm
1-4 n: lnnlnnnnn
4-9 k: kkkmkkkkbk
3-4 t: tttt
5-12 k: tkgwkrwwzcwkhkmk
4-5 f: fhfvfgwfff
3-5 h: fmbgjrxgh
5-6 j: xtwnjj
11-15 r: rrrrrrrrprqrrrfrr
13-14 f: fdffffflfffvfff
1-6 b: krsbnd
6-7 b: bbbbvxqbl
1-2 v: vvcvvvv
7-9 t: ctfcmttht
2-7 v: bcxhtdwbfqvv
14-15 n: nnsnlnvkqztnxnn
2-6 g: rknndvrhbg
2-6 z: mzzzdzzzz
11-14 q: qqqqqqvrqqzlqkqqq
3-4 t: ttcrttjtknjpvwhzm
8-10 j: jjjjjjjjjjjj
2-7 c: ccnhcccc
3-14 m: mmmmmmmmmmmmzmm
10-16 w: swsmwwwwwrnwmwwk
4-5 m: bmdjm
6-11 l: cmlllxllllkrllf
14-18 t: tttttttttttttvtltt
11-13 f: ffffffffffhfzfff
3-6 g: wkzxtrkgr
7-10 c: cccpcccccvccc
3-13 m: mmbmmzbcmlwmmfnmmq
2-3 p: pdszp
13-14 r: rqrrfrdrrrwvrrrrrwrr
9-11 g: gggwggggfcpg
3-9 p: pnppppdpppp
17-19 k: gzkktkxkkskkkmkkkpk
4-11 x: bmqhtxzqmvx
11-14 v: cvsvssqghzjqxm
1-14 z: zwxczzszzdmkztl
8-9 t: jkpptwctt
3-8 z: vqmzzpjj
6-10 s: msdrxssssswssjz
1-7 z: zhpzzzz
13-17 m: mmmmmmmmmlmmgmmmgm
